"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.548277029E2,-1.463241577E1,4.498093033E1,-1.725658035E1
2.548376669E2,-1.459373474E1,4.520500183E1,-1.685771942E1
2.548476319E2,-1.437643433E1,4.546868896E1,-1.634005737E1
2.548575959E2,-1.433134460E1,4.579254913E1,-1.612628937E1
2.548675599E2,-1.376240540E1,4.596642303E1,-1.537830734E1
2.548775239E2,-1.343312073E1,4.608463287E1,-1.581777573E1
2.548874879E2,-1.343312073E1,4.608463287E1,-1.581777573E1
2.548974529E2,-1.278820801E1,4.638216400E1,-1.471726990E1
2.549074169E2,-1.234410095E1,4.667234421E1,-1.479869843E1
2.549173809E2,-1.175062561E1,4.680527878E1,-1.421541977E1
2.549273449E2,-1.126451111E1,4.693586731E1,-1.437135696E1
2.549373099E2,-1.067704773E1,4.703781891E1,-1.363035583E1
2.549472739E2,-1.062117004E1,4.717960358E1,-1.402404404E1
2.549572379E2,-1.009492493E1,4.723584747E1,-1.351001740E1
2.549672019E2,-9.721572876E0,4.722286987E1,-1.369083023E1
2.549771659E2,-9.284164429E0,4.726794052E1,-1.315183258E1
2.549871309E2,-9.084197998E0,4.756275940E1,-1.358629990E1
2.549970949E2,-8.585876465E0,4.752626801E1,-1.280892563E1
2.550070589E2,-8.347732544E0,4.761360931E1,-1.365742111E1
2.550170229E2,-7.893905640E0,4.761869049E1,-1.311137772E1
2.550269879E2,-7.873229980E0,4.781052017E1,-1.346824265E1
2.550369519E2,-7.770935059E0,4.776512909E1,-1.344683075E1
2.550469159E2,-7.835327148E0,4.767899323E1,-1.395622253E1
2.550568799E2,-7.802413940E0,4.763634491E1,-1.383045197E1
2.550668439E2,-8.216156006E0,4.767093658E1,-1.396140289E1
2.550768089E2,-8.677627563E0,4.759846497E1,-1.396184158E1
2.550867729E2,-9.131454468E0,4.740110779E1,-1.391632843E1
2.550967369E2,-9.637619019E0,4.732427979E1,-1.381338882E1
2.551067009E2,-1.006747437E1,4.725358582E1,-1.374893951E1
2.551166659E2,-1.062164307E1,4.694895172E1,-1.439876556E1
2.551266299E2,-1.062164307E1,4.694895172E1,-1.439876556E1
2.551365939E2,-1.056697083E1,4.658926392E1,-1.542803192E1
2.551465579E2,-1.106547546E1,4.583819580E1,-1.772568130E1
2.551565219E2,-1.123730469E1,4.537437820E1,-1.898020554E1
2.551664869E2,-1.126899719E1,4.459076691E1,-2.118704605E1
2.551764509E2,-1.122338867E1,4.381331635E1,-2.223697281E1
2.551864149E2,-1.167182922E1,4.296024704E1,-2.411043739E1
2.551963789E2,-1.197428894E1,4.222651291E1,-2.472418213E1
2.552063429E2,-1.278733826E1,4.122858047E1,-2.662671661E1
2.552163079E2,-1.331416321E1,4.043081665E1,-2.739118767E1
2.552262719E2,-1.396755981E1,3.910389328E1,-2.937876701E1
2.552362359E2,-1.452609253E1,3.806468964E1,-3.015468216E1
2.552461999E2,-1.543687439E1,3.670561981E1,-3.155836868E1
2.552561649E2,-1.656831360E1,3.607572174E1,-3.156502914E1
2.552661289E2,-1.792543030E1,3.532809448E1,-3.224969482E1
2.552760929E2,-1.911757660E1,3.506949615E1,-3.156323433E1
2.552860569E2,-2.029093170E1,3.463901520E1,-3.154733467E1
2.552960209E2,-2.119875336E1,3.453417206E1,-3.097348213E1
2.553059859E2,-2.132962799E1,3.407809448E1,-3.164819145E1
2.553159499E2,-2.107793427E1,3.367088699E1,-3.204976654E1
2.553259139E2,-2.071315765E1,3.323225021E1,-3.295983124E1
2.553358779E2,-2.001983643E1,3.291549683E1,-3.366164398E1
2.553458429E2,-1.943614960E1,3.259757996E1,-3.442928696E1
2.553558069E2,-1.873689270E1,3.249191284E1,-3.517030334E1
2.553657709E2,-1.875588989E1,3.249209595E1,-3.515111542E1
2.553757349E2,-1.780819702E1,3.249024963E1,-3.554439163E1
2.553856989E2,-1.698463440E1,3.250433731E1,-3.611354828E1
2.553956639E2,-1.612693787E1,3.264960861E1,-3.625440979E1
2.554056279E2,-1.527401733E1,3.251773834E1,-3.686165619E1
2.554155919E2,-1.476164246E1,3.285644531E1,-3.688666534E1
2.554255559E2,-1.411935425E1,3.285507965E1,-3.746546173E1
2.554355209E2,-1.370280457E1,3.339910507E1,-3.713011169E1
2.554454849E2,-1.339413452E1,3.316124344E1,-3.774835968E1
2.554554489E2,-1.355505371E1,3.342652130E1,-3.697298431E1
2.554654129E2,-1.379003906E1,3.313029099E1,-3.730553055E1
2.554753769E2,-1.426614380E1,3.351879501E1,-3.658144379E1
2.554853419E2,-1.453222656E1,3.354959869E1,-3.687480927E1
2.554953059E2,-1.473912048E1,3.403656006E1,-3.590011215E1
2.555052699E2,-1.504432678E1,3.429942322E1,-3.590795135E1
