"Time (s)","X (µT)","Y (µT)","Z (µT)"
3.636179208E0,-4.476162720E1,2.124142838E1,-7.794204712E1
3.646145208E0,-4.451838684E1,2.146837234E1,-7.790345764E1
3.656110208E0,-4.463764191E1,2.144425011E1,-7.796655273E1
3.666075208E0,-4.458639526E1,2.146816635E1,-7.787757111E1
3.676041208E0,-4.457934570E1,2.130342865E1,-7.794927216E1
3.686006208E0,-4.439272308E1,2.147717667E1,-7.788257599E1
3.695972208E0,-4.439272308E1,2.147717667E1,-7.788257599E1
3.705937208E0,-4.439134216E1,2.154709625E1,-7.792379761E1
3.715902208E0,-4.439601135E1,2.163028526E1,-7.801622009E1
3.725868208E0,-4.438691711E1,2.159227562E1,-7.807587433E1
3.735833208E0,-4.415550995E1,2.171833420E1,-7.834386444E1
3.745798208E0,-4.419340515E1,2.176548767E1,-7.793614197E1
3.755764208E0,-4.372509003E1,2.176547050E1,-7.824704742E1
3.765729208E0,-4.362250519E1,2.184572983E1,-7.820019531E1
3.775695208E0,-4.362554169E1,2.194622993E1,-7.815003204E1
3.785660208E0,-4.349645233E1,2.195291328E1,-7.800857544E1
3.795625208E0,-4.359214783E1,2.167958069E1,-7.820689392E1
3.805591208E0,-4.332241058E1,2.158979988E1,-7.806499481E1
3.815556208E0,-4.347769928E1,2.125252151E1,-7.834538269E1
3.825521208E0,-4.311339569E1,2.125990295E1,-7.831233978E1
3.835487208E0,-4.305879211E1,2.093207741E1,-7.847552490E1
3.845452208E0,-4.285643005E1,2.074451637E1,-7.843601990E1
3.855418208E0,-4.277242279E1,2.035412598E1,-7.882707214E1
3.865383208E0,-4.238724518E1,2.025673676E1,-7.889630127E1
3.875348208E0,-4.280825043E1,2.034787369E1,-7.881922913E1
3.885314208E0,-4.299803925E1,2.035853958E1,-7.844988251E1
3.895279208E0,-4.351349640E1,2.035025597E1,-7.845124817E1
3.905244208E0,-4.365381622E1,2.053592682E1,-7.815928650E1
3.915210208E0,-4.374896240E1,2.020797539E1,-7.842543793E1
3.925175208E0,-4.335595703E1,2.001600075E1,-7.838272858E1
3.935141208E0,-4.335595703E1,2.001600075E1,-7.838272858E1
3.945106208E0,-4.305012512E1,1.961065483E1,-7.872820282E1
3.955071208E0,-4.270748138E1,1.955045891E1,-7.908143616E1
3.965037208E0,-4.288804626E1,1.933456802E1,-7.893457031E1
3.975002208E0,-4.322687531E1,1.955497360E1,-7.878078461E1
3.984967208E0,-4.360832977E1,1.935706329E1,-7.860162354E1
3.994933208E0,-4.274507904E1,1.967099762E1,-7.852105713E1
